"date","platform_name","ngav_detection_count","arw_detection_count","network_detection_count","engine_detection_count","protected_endpoint_count"
"2023-04-23","Windows Server 2012 R2 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 7",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 8.1 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 7",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 7 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 7 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 7 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 8.1 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 8",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 7 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 7",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows Server 2016 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 7 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 8.1 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 7",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 8.1 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows Server 2016 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 7 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 7 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 7",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 7 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 8.1 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows Server 2012 R2 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows Server 2016 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 7",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 7 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 7",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 7 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows Server 2012 R2 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 8.1 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 7 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 7",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 7 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 7",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 8.1 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 7 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 7 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 7",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows Server 2016 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 7 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 7 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 7",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 8.1 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 7 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 7",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows Server 2016 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 8.1 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows Server 2012 R2 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 7 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 8.1 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 8 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 7",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 7 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 7",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows Server 2012 R2 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 7 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows Server 2008 R2 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 7",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows Server 2016 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 7",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 7 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 7",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 7 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 7",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 8.1 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 7 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 8.1 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 7",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows Server 2012 R2 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 8 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 7",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows Server 2008 R2 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 8.1 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 7 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 7 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 7",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 7 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 7 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 8.1 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 7",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 7 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 7 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 7",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 8.1 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 7 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 7",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 7",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 7 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 8.1 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 7 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 7",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 7",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 8 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 7 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 7",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 7",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 7 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 8.1 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 8.1 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 7",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 7 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 7 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 7",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 7 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 7 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 7 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 7 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 7 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 8 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 11 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 8.1 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 7 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 7",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 7",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows Server 2016 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 7 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 8.1 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows Server 2016 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 7",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows Server 2012 R2 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 7 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 11 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 8.1 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 7 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 8.1 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 7",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 7 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows Server 2016 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 8.1 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 7",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 7 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 7 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 7",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 7 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 7",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 7 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 7 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 7",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 8.1 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 8.1 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 8.1 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 7 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 7",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows Server 2016 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 7",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 10 64 bit",NULL,NULL,NULL,NULL,NULL
"2023-04-23","Windows 7 64 bit",NULL,NULL,NULL,NULL,NULL
